episode,rewards_total
1,1.17624533887
2,0.799064784382
3,4.46154563078
4,-9.52725809281
5,-6.77265476451
6,7.13882176885
7,-0.77132223901
8,30.5231072769
9,-0.919558627498
10,-17.5510404532
11,11.5139855167
12,-2.42668829753
13,3.2141661649
14,12.2555104607
15,-13.5937985154
16,0.0232004902534
17,1.48049303947
18,7.11509543959
19,12.9941457862
20,16.5228853417
21,19.5183899878
22,25.8060071665
23,17.6601596802
24,9.01438345594
25,7.49738556259
26,0.983372165596
27,6.73783784967
28,19.3640009461
29,13.2635522002
30,8.44828657938
31,2.03043568446
32,14.3577483929
33,12.1113861475
34,8.99543389076
35,11.7295343337
36,13.6318716087
37,13.1790930085
38,12.591591128
39,10.6436690052
40,11.4319043885
41,12.1281016569
42,15.0757537194
43,15.8392179685
44,16.0707825086
45,16.8584231673
46,1.28883106986
47,-21.9129038508
48,-1.93057099963
49,-7.47883040629
50,-4.02376623549
51,-4.02637388493
52,-23.4047212909
53,-5.65245368846
54,0.170201463119
55,6.69600245974
56,0.628862014895
57,14.0879030484
58,13.90720188
59,13.115508679
60,-14.7157900369
61,-20.0229035384
62,-6.66664620493
63,-9.75333183725
64,-24.5403844713
65,-28.8537903373
66,-1.18708995457
67,16.7426526765
68,18.7733183777
69,17.2020308123
70,17.1250463919
71,13.7550805112
72,17.521754371
73,18.64392528
74,14.3831331352
75,29.1010794932
76,20.4204141428
77,17.5761954773
78,16.5940395659
79,16.5000366261
80,-171.205130525
81,-112.993615358
82,-171.455362214
83,-171.734623581
84,-171.709069827
85,-172.322742004
86,-171.561417502
87,-171.167134297
88,-171.825633391
89,-171.194722095
90,-171.341810821
91,-171.366943826
92,-171.874680908
93,-171.487179174
94,-171.924687568
95,13.2188935975
96,13.5052159075
97,13.2194078571
98,13.3919751273
99,13.57298019
100,13.3208053983
101,13.3939390125
102,13.0724885141
103,13.3222624864
104,13.4512900587
105,13.1902755469
106,13.4439075323
107,13.1703601089
108,13.5506111689
109,13.2894900056
110,13.5336359882
111,13.8287678007
112,13.0378125372
113,12.6917592755
114,12.9257433189
115,13.1122562697
116,12.906295804
117,12.9280885803
118,13.1964014336
119,12.9428960281
120,13.1614393379
121,12.7563903184
122,12.9930923572
123,12.9007634887
124,13.2581802717
125,13.1037818074
126,13.1377631094
127,13.4525670925
128,13.3921871966
129,13.28171009
130,13.2523299762
131,13.043020585
132,12.8346241524
133,13.3514246509
134,12.7415654905
135,12.737983062
136,13.3393528006
